"playerID","yearID","lgID"
"cartega01",1986,"NL"
"cartega01",1987,"NL"
"cartega01",1988,"NL"
"cartejo01",1991,"AL"
"cartejo01",1992,"AL"
"cartejo01",1993,"AL"
"cartejo01",1994,"AL"
"cartejo01",1996,"AL"
"cartela02",2003,"AL"
"cartyri01",1970,"NL"
"casanpa01",1967,"AL"
"casege01",1939,"AL"
"casege01",1943,"AL"
"casege01",1944,"AL"
"casege01",1945,"AL"
"caseyse01",1999,"NL"
"caseyse01",2001,"NL"
"caseyse01",2004,"NL"
"cashda01",1974,"NL"
"cashda01",1975,"NL"
"cashda01",1976,"NL"
"cashno01",1961,"AL"
"cashno01",1966,"AL"
"cashno01",1971,"AL"
"cashno01",1972,"AL"
"castilu01",2002,"NL"
"castilu01",2003,"NL"
"castilu01",2005,"NL"
"castivi02",1995,"NL"
"castivi02",1998,"NL"
"caudibi01",1984,"AL"
"cavarph01",1944,"NL"
"cavarph01",1945,"NL"
"cavarph01",1946,"NL"
"cavarph01",1947,"NL"
"cedence01",1972,"NL"
"cedence01",1973,"NL"
"cedence01",1974,"NL"
"cedence01",1976,"NL"
"cepedor01",1959,"NL"
"cepedor01",1960,"NL"
"cepedor01",1961,"NL"
"cepedor01",1962,"NL"
"cepedor01",1963,"NL"
"cepedor01",1964,"NL"
"cepedor01",1967,"NL"
"cervbo01",1958,"AL"
"ceyro01",1974,"NL"
"ceyro01",1975,"NL"
"ceyro01",1976,"NL"
"ceyro01",1977,"NL"
"ceyro01",1978,"NL"
"ceyro01",1979,"NL"
"chacosh01",2003,"NL"
"chalkda01",1974,"AL"
"chalkda01",1975,"AL"
"chambch01",1976,"AL"
"chancde01",1964,"AL"
"chancde01",1967,"AL"
"chandsp01",1942,"AL"
"chandsp01",1943,"AL"
"chandsp01",1946,"AL"
"chandsp01",1947,"AL"
"chapmbe01",1933,"AL"
"chapmbe01",1934,"AL"
"chapmbe01",1935,"AL"
"chapmbe01",1936,"AL"
"chapmsa01",1946,"AL"
"charlno01",1992,"NL"
"chrisru01",1945,"AL"
"cimolgi01",1957,"NL"
